# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
GCVS                 V1100_Cas                 01:21:21.07  +64:06:02.8   20.337783   64.100786  126.191854    1.418537  F        4.7034618  0          0          0          GV     -                 -                 -                 -                 -              313918               524713856754200704   11.521
GCVS                 V1013_Cas                 01:21:42.36  +61:46:07.4   20.426520   61.768725  126.503719   -0.892933  F        3.7555413  0          0          0          GV     -                 -                 -                 -                 -              325076               510907323601978752   12.613
GCVS                 V1276_Cas                 01:22:26.27  +59:12:36.2   20.609443   59.210056  126.897210   -3.422815  1O2O     0          0.4198151  0.3358240  0          G      -                 -                 -                 -                 -              -                    413978639108290688   11.827
GCVS                 V556__Cas                 01:23:51.75  +62:31:20.0   20.965623   62.522226  126.662307   -0.114441  F        6.0409601  0          0          0          GV     -                 -                 -                 -                 -              314354               511048061089677568   11.672
MISAO                Mis_V1348                 01:28:23.38  +60:42:30.9   22.097412   60.708577  127.439005   -1.839401  F        2.6756987  0          0          0          GV     -                 -                 -                 -                 -              339640               510613960158857344   13.974
GCVS                 BV____Cas                 01:30:01.18  +62:17:02.6   22.504923   62.284069  127.401317   -0.252408  F        5.3996360  0          0          0          GV     -                 -                 -                 -                 -              338351               510852725982463232   11.645
ZTF-DR2              J013015.60+623816.4       01:30:15.60  +62:38:16.3   22.565014   62.637873  127.375866    0.101571  F        3.7219616  0          0          0          Gr     -                 -                 -                 -                 -              -                    512363180081109888   15.456
ZTF-DR2              J013129.72+652642.6       01:31:29.73  +65:26:42.5   22.873874   65.445144  127.081310    2.896622  1O       0          1.5496786  0          0          Gr     -                 -                 -                 -                 -              -                    513342260822973696   14.904
GCVS                 V470__Cas                 01:32:18.17  +56:29:57.9   23.075710   56.499415  128.580143   -5.923523  1O2O     0          0.8745447  0.7021399  0          GV     -                 -                 -                 -                 -              285533               412675610446139520   12.047
GCVS                 V636__Cas                 01:32:43.22  +63:35:37.7   23.180099   63.593805  127.502720    1.089017  F        8.3761410  0          0          0          G      -                 -                 -                 -                 -              -                    512524361613040640    6.647
