# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
GCVS                 VX____Per                 02:07:48.48  +58:26:36.7   31.952002   58.443534  132.801697   -2.957147  F       10.8792785  0          0          0          GV     -                 -                 -                 -                 -              361449               506779550797525760    8.894
Gaia-DR3             508592954709039488        02:08:31.52  +62:07:02.9   32.131315   62.117464  131.811569    0.582064  F        2.0102643  0          0          0          G      -                 -                 -                 -                 -              -                    508592954709039488   15.887
GCVS                 V395__Cas                 02:10:29.17  +63:17:51.1   32.621536   63.297534  131.675194    1.775581  F        4.0376159  0          0          0          GV     -                 -                 -                 -                 -              312181               514674937641488256   10.377
ZTF-DR2              J021032.03+605031.8       02:10:32.03  +60:50:31.8   32.633444   60.842177  132.419773   -0.564195  1O       0          1.5687683  0          0          Gr     -                 -                 -                 -                 -              -                    507619921275278336   17.391
GCVS                 GL____Cas                 02:10:46.37  +59:15:13.3   32.693215   59.253694  132.927488   -2.069700  F        4.0067003  0          0          0          GVc    -                 -                 -                 -                 -              362083               506923449381427968   12.279
Gaia-DR3             508522757761814016        02:11:19.81  +61:44:49.3   32.832541   61.747017  132.237156    0.327169  1O       0          0.2826309  0          0          G      -                 -                 -                 -                 -              -                    508522757761814016   15.349
NSVS                 1831074                   02:11:35.41  +60:26:31.7   32.897550   60.442149  132.664413   -0.906172  F        5.4607189  0          0          0          GV     -                 -                 -                 -                 -              293576               507558760939249536   13.864
Gaia-DR3             520240420676621184        02:11:42.40  +67:04:11.6   32.926678   67.069894  130.648958    5.408533  1O       0          3.1692950  0          0          G      -                 -                 -                 -                 -              -                    520240420676621184    8.071
Gaia-DR3             507721282503587584        02:12:36.05  +61:08:18.9   33.150207   61.138591  132.568085   -0.205491  F1O      2.3799739  1.6994352  0          0          G      -                 -                 -                 -                 -              -                    507721282503587584   14.969
GCVS                 UX____Per                 02:13:07.49  +58:04:47.8   33.281189   58.079952  133.579019   -3.093177  F        4.5656834  0          0          0          GV     -                 -                 -                 -                 -              361772               506699870563323264   11.410
Gaia-DR3             506797039902075776        02:13:40.28  +58:15:29.7   33.417818   58.258260  133.591875   -2.901288  1O       0          1.7740932  0          0          G      -                 -                 -                 -                 -              -                    506797039902075776   10.809
GCVS                 V1017_Cas                 02:14:24.76  +65:35:58.0   33.603150   65.599448  131.367322    4.095753  F        5.0296290  0          0          0          GV     -                 -                 -                 -                 -              265728               515599111517099136   11.912
NSVS                 1831231                   02:15:31.46  +63:31:04.0   33.881095   63.517781  132.143122    2.159894  1O       0          3.2989474  0          0          GV     -                 -                 -                 -                 -              311466               514736269771300224   10.338
ASASSN-V             J021622.63+623328.0       02:16:22.52  +62:33:27.9   34.093818   62.557756  132.542769    1.281612  F        5.2411184  0          0          0          GVr    -                 -                 -                 -                 -              AP4412559            513830684503187840   12.608
ASASSN-V             J021635.96+651035.5       02:16:35.96  +65:10:35.6   34.149853   65.176552  131.719169    3.767936  F        3.5219971  0          0          0          GV     -                 -                 -                 -                 -              472283               515527570241664512   12.678
ZTF-DR2              J021807.34+614925.4       02:18:07.35  +61:49:25.3   34.530618   61.823701  132.974478    0.653887  F        3.5634354  0          0          0          Gr     -                 -                 -                 -                 -              -                    513722485685228416   14.974
ATLAS                J035.0648+59.7863         02:20:15.56  +59:47:11.0   35.064829   59.786387  133.897714   -1.180834  1O       0          1.7888946  0          0          Gc     -                 -                 -                 -                 -              -                    507359989852844032   14.989
ZTF-DR2              J022201.82+614537.4       02:22:01.83  +61:45:37.4   35.507613   61.760379  133.430764    0.749274  F        2.9419907  0          0          0          Gr     -                 -                 -                 -                 -              -                    513547663335897344   15.187
ATLAS                J035.7099+50.0719         02:22:50.39  +50:04:19.0   35.709971   50.071933  137.600291  -10.178593  F        2.7605475  0          0          0          Gc     -                 -                 -                 -                 -              -                    355488086540394112   14.569
GCVS                 V440__Per                 02:23:51.74  +55:21:53.5   35.965587   55.364851  135.873073   -5.167533  F        7.5725798  0          0          0          G-     -                 -                 -                 -                 -              -                    455914562346088704    6.000
ZTF-DR2              J022524.39+605030.9       02:25:24.38  +60:50:30.8   36.351596   60.841891  134.130940    0.029817  F        2.5780480  0          0          0          Gr     -                 -                 -                 -                 -              -                    513422387728131584   14.977
GCVS                 GM____Cas                 02:26:56.69  +60:34:17.1   36.736206   60.571415  134.403382   -0.155505  F        7.4677769  0          0          0          GV     -                 -                 -                 -                 -              349873               465365517618881536   10.866
GCVS                 SZ____Cas                 02:27:13.77  +59:27:38.2   36.807364   59.460601  134.837338   -1.178679  F       13.6405457  0          0          0          GV     -                 -                 -                 -                 -              361452               459263743483634304    9.172
GCVS                 VY____Per                 02:27:35.46  +58:55:01.7   36.897761   58.917151  135.077306   -1.668509  F        5.5319054  0          0          0          GV     -                 -                 -                 -                 -              361789               459035766618689280   10.471
